Read,קרא
Assignment Completed,המשימה הושלמה
Communication,תקשורת
Call,שיחה
GMail,Gmail
End Date,תאריך סיום
Apply this rule if the User is the Owner,החל כלל זה אם המשתמש הוא הבעלים
"Insert After field '{0}' mentioned in Custom Field '{1}', with label '{2}', does not exist","התוספת לאחר השדה {0} המצוינת בשדה המותאם אישית {1}, עם התגית {2} לא קיימת במערכת"
Timeline DocType,ציר הזמן של סוג המסמך
Assigned By,הוקצה על ידי
Select All,בחר הכל
"If a Role does not have access at Level 0, then higher levels are meaningless.","אם אין גישה לבעל התפקיד ברמה 0, אז גם לרמות גבוהות יותר אין חשיבות."
Share With,שתף עם
Department,מחלקה
Sending,שליחה
Name not set via Prompt,לא הוגדר שם באמצעות שורת הפקודה
Amend,תקן
1 hour ago,לפני שעה 1
This format is used if country specific format is not found,פורמט זה משמש במקרה בו הפורמט הספציפי למדינה לא נמצא
Medium,אמצעי
Print Format,פורמט הדפסה
SMTP Settings for outgoing emails,הגדרות פרוטוקול ה-SMTP עבור הודעות הדואר האלקטרוני היוצאות
Private,פרטי
Drag elements from the sidebar to add. Drag them back to trash.,גרור אלמנטים מהסרגל על מנת להוסיפם. גרור אותם בחזרה על מנת להשליך..
Logout,התנתק
Email Sent,ההודעה נשלחה
Enable Auto Reply,אפשר מענה אוטומטי
Send Alert On,שלח התראה ב
"A new task, {0}, has been assigned to you by {1}. {2}",הוקצתה לך משימה חדשה {0} עלידי {1}. {2}
Property Setter overrides a standard DocType or Field property,מגדיר הנכס דורס סוג מסמך סטנדרטי או את שדה הנכס
or,או
These values will be automatically updated in transactions and also will be useful to restrict permissions for this user on transactions containing these values.,ערכים אלו יתעדכנו באופן אוטומטי בעסקאות וגם יהיו שימושיים על מנת להגביל את ההרשאות למשתמש זה בעסקאות המכילות את הערכים הללו.
Brand,מותג
Edit HTML,ערוך HTML
You can also copy-paste this link in your browser,תוכל בנוסף להעתיק ולהדביק את הקישור הזה בדפדפן שלך
Time Zones,אזורי זמן
User {0} cannot be renamed,לא ניתן לשנות את השם של המשתמש {0}
Edit Profile,ערוך פרופיל
play-circle,סמל הפעלה
text-width,רוחב הטקסט
Please set Dropbox access keys in your site config,נא הגדר מקשי גישה ל-dropbox בהגדרות התצורה של האתר
Slideshow like display for the website,מצגת לתצוגה עבור אתר האינטרנט
Welcome email sent,הודעת ברוכים הבאים נשלחה
Bulk Edit {0},עריכה בכמות גדולה{0}
If Owner,אם בעלים
Auto Reply Message,הודעת תשובה אוטומטית
Patch Log,תקן יומן
Email By Document Field,שלח בדואר האלקטרוני על ידי שדה מסמך
Assign To,הקצה ל
Allow Delete,אפשר מחיקה
{0}: Cannot set import as {1} is not importable,{0}: לא ניתן להגדיר ערך בשעה {1} הוא לא יביא
{0}: Cannot set Import without Create,{0}: לא ניתן להגדיר יבוא ללא יצירת
eye-open,עין-פתוחה
Org History,ההיסטוריה של הארגון
Failed,נכשל
Preview HTML,התצוגה המקדימה של HTML
{0}: Cannot set Assign Amend if not Submittable,{0}: לא ניתן להגדיר הקצאת תיקון אם לא הוא לא ניתן להגשה
none of,אף אחד מ
Only Administrator allowed to create Query / Script Reports,רק מנהל רשאי ליצור שאילתא / דוחות סקריפטים
Link Name,שם קישור
Contacts,פרטי קשר
Hide Details,הסתר פרטים
Website User,משתמש אתר
Adding System Manager to this User as there must be atleast one System Manager,הוספת הרשאת מנהל מערכת למשתמש זה כיוון שחייב להיות מנהל מערכת אחד
Desk,שולחן העבודה
Progress,התקדמות
random,אקראי
Contact Email,דואר אלקטרוני ליצירת קשר
"Dear System Manager,","מנהל מערכת יקר,"
"Don't HTML Encode HTML tags like &lt;script&gt; or just characters like &lt; or &gt;, as they could be intentionally used in this field",אל תקדד ב-HTML תגיות HTML כגון 'סקריפט' או תווים כגון 'או' כיוון שניתן להשתמש בהם כך בתוך שדה זה
Please try again,אנא נסה שנית
Pyver,Pyver
Cache Cleared,המטמון נוקה
Image Field,שדה תמונה
App Name,שם האפליקציה
PDF,PDF
Arial,Arial
Allow on Submit,אפשר הגשה
Primary,עיקרי
Style Settings,הגדרות סגנון
Please save before attaching.,אנא שמור לפני צירוף.
Get Items,קבל פריטים
{0} {1} not found,{0} {1} לא נמצא
"Actions for workflow (e.g. Approve, Cancel).","פעולות לתהליכי העבודה (לדוגמא אישור, ביטול)."
{0} created this {1},{0} נוצר זה {1}
States,הברית
Date,תאריך
Documents,מסמכים
Accounts Manager,מנהל חשבונות
Document Queued,מסמך בתור
Top Bar Items,פריטים בסרגל העליון
Edit Filter,סינון עריכה
Label is mandatory,יש להזין תווית
File size exceeded the maximum allowed size of {0} MB,גודל קובץ חרג מהגודל המרבי המותר {0} MB
"DocType's name should start with a letter and it can only consist of letters, numbers, spaces and underscores","שמו של סוג הקובץ צריך להתחיל באות והוא יכול להכיל רק אותיות, מספרים, רווחים וסימני קו תחתון"
SMTP Server,שרת SMTP
Select a DocType to make a new format,בחר סוג מסמך על מנת ליצור פורמט חדש
Details,פרטים
Main Section,החלק העיקרי
Standard Reports,דוחות סטנדרטיים
Add a New Role,הוסף תפקיד חדש
Password reset instructions have been sent to your email,הוראות לשינו הסיסמא נשלחו לתיבת הדואר האלקטרוני שלך
text-height,גובה הטקסט
align-justify,יישר לשני הצדדים
Timeline Field,שדה ציר הזמן
Password,סיסמא
Incorrect value: {0} must be {1} {2},ערך שגוי: {0} חייב להיות {1} {2}
Totals,סכומים
"Enter default value fields (keys) and values. If you add multiple values for a field, the first one will be picked. These defaults are also used to set ""match"" permission rules. To see list of fields, go to ""Customize Form"".","הזן שדות ערך ברירת מחדל (מקשים) וערכים. אם תוסיף ערכים מרובים עבור שדה אחד, הראשון מביניהם ייבחר. ברירות מחדל אלה משמשים גם לקביעת כללי 'התאמת' אישור. כדי לראות את רשימת השדות, עבוא ל'טופס מותאם אישית'."
Request Timed Out,תם זמן הבקשה
Maximum Attachment Limit for this record reached.,הגעת לממגבלה המקסימלית של צרופות לרשומה זו.
Sent or Received,נשלח או התקבל
Low,נמוך
Complete Registration,השלם רישום
Select Role,בחר תפקיד
Export not allowed. You need {0} role to export.,לא ניתן לייצא. עליך להיות בתפקיד {0} על מנת לייצא.
{app_title},{כותרת_היישום}
Permission Rules,כללי אישור
Add all roles,הוסף את כל התפקידים
DocType or Field,סוג מסמך או שדה
Stop,הפסק
Name cannot contain special characters like {0},שם אינו יכול להכיל תווים מיוחדים כגון {0}
Unable to update event,לא ניתן לעדכן את האירוע
Home/Test Folder 1/Test Folder 3,בית/תיקיית ניסיון 1/תיקיית ניסיון 3
Submit an Issue,הגש הנפקה
Inverse,הפוך
Links,קישורים
Invalid Link,קישור לא חוקי
Warning,אזהרה
Comment Type,סוג התגובה
You can add dynamic properties from the document by using Jinja templating.,תוכל להוסיף תכונות דינמיות מהמסמך באמצעות תבנית ג'ינג'ה.
There is some problem with the file url: {0},יש בעיה עם כתובת הקובץ: {0}
Collapsible,פריק
Web Link,קישור אינטרנט
Print Format Help,עזרה בשימוש פורמט הדפסה
Beginning with,החל מ
"If you are uploading new records, leave the ""name"" (ID) column blank.","אם אתה מעלה רשומות חדשות, השאר את עמודת 'שם' ריקה(ID)."
Select Document Type or Role to start.,בחר את סוג המסמך או התפקיד על מנת להתחיל.
Text Align,יישור טקסט
Payments,תשלומים
Allocated To,הוקצה ל
Logged in,מחובר
New Custom Print Format,פורמט הדפסה מותאם אישית חדש
Perm Level,רמה הרשאות
Your organization name and address for the email footer.,"שמך, שם הארגון, וכתובת לכותרת תחתונה בדואר האלקטרוני."
Fraction Units,תת יחידה של המטבע
"""Team Members"" or ""Management""",'חברי צוות' או 'ניהול'
For top bar,לסרגל העליון
The Condition '{0}' is invalid,התנאי '{0}' אינו חוקי
Portal Menu,תפריט פורטל
Notification,התראה
"Check columns to select, drag to set order.","סמן עמודות כדי לבחור, גרור להגדיר הזמנה."
This email was sent to {0} and copied to {1},האימייל הזה נשלח ל-{0} ונשלח גם עותק ל-{1}
Use IMAP,IMAPהשתמש ב-
"""Parent"" signifies the parent table in which this row must be added",'אב' מסמל את טבלת האב שבה יש להוסיף את השורה הזו
Repeat Till,חזור עד
Edit Properties,ערוך מאפיינים
There were errors while sending email. Please try again.,היו שגיאות בעת שליחת דואר אלקטרוני. אנא נסה שוב.
Repeat this Event,חזור על אירוע זה
Postal Code,מיקוד
Landing Page,דף נחיתה
Unable to find attachment {0},לא ניתן למצוא את הקובץ המצורף {0}
You need write permission to rename,יש צורך בהרשאת כתיבה על מנת לשנות את השם
old_parent,מקור_ישן
Is Your Company Address,האם כתובת החברה שלך
Attached To DocType,מצורף לסוג המסמך
Inbox,תיבת הדואר הנכנס
"Field that represents the Workflow State of the transaction (if field is not present, a new hidden Custom Field will be created)","שדה שמייצג את מצב זרימת העבודה של העסקה (אם השדה אינו מוצג, יווצר שדה מותאם אישית נסתר חדש)"
Assigned,הוקצה
Single Post (article).,הודעה אחת (מאמר).
"To add dynamic subject, use jinja tags like <div><pre><code>{{ doc.name }} Delivered</code></pre></div>","כדי להוסיף נושא דינמי, להשתמש בתגיות ג'ינג'ה כגון'div style=;text-align:right;direction:rtl' 'pre style='text-align:right;direction:rtl' 'code'{{ doc.name }} Delivered'/code' '/pre' '/div'"
Drag and Drop tool to build and customize Print Formats.,גרור ושחרר כלי על מנת לבנות ולהתאים אישית את תבניות הדפסה.
No permission to '{0}' {1},אין הרשאות ל'{0}'{1}
Birth Date,תאריך לידה
Amending,מתקן
Must specify a Query to run,יש לציין שאילתה על מנת להריץ
If user is the owner,אם המשתמש הוא הבעלים
Message Examples,דוגמאות להודעה
List a document type,רשום את סוג המסמך
Assignment,משימה
Last Modified By,השתנה לאחרונה על ידי
User Roles,תפקידי המשתמש
Defines workflow states and rules for a document.,מגדיר מצב זרימת עבודה וכללים למסמך.
**Currency** Master,אשף ה**מטבע**
Contact Us Settings,הגדרות צור קשר
Total,סך
module name...,שם מודול ...
"Select target = ""_blank"" to open in a new page.",בחר יעד = 'דף ריק' לפתיחה בדף חדש.
In Filter,במסנן
Set User Permissions,הגדר הרשאות משתמש
"The application has been updated to a new version, please refresh this page","היישום עודכן לגרסה חדשה, אנא רענן דף זה"
"You need to have ""Share"" permission",תצטרך הרשאות 'שיתוף'
Ref DocType,הפניה ל-DOCTYPE
Archived,נשמר בארכיון
Is Private,האם פרטי
Standard,סטנדרטי
Enter Form Type,הזן את סוג הטופס
Domain,תחום
italic,נטוי
Error Snapshot,תמונת מצב שגיאה
JSON,JSON
"Set default format, page size, print style etc.","הגדר כברירת מחדל, פורמט, גודל עמוד, סגנון הדפסה וכו"
"Once you have set this, the users will only be able access documents (eg. Blog Post) where the link exists (eg. Blogger).","ברגע שהגדרת זאת, למשתמשים יהיה גישה רק למסמכים (לדוגמא. פוסט בבלוג) שבהם יש קישור קיים (לדוגמא. בלוגר)."
This field will appear only if the fieldname defined here has value OR the rules are true (examples): myfield eval:doc.myfield=='My Value' eval:doc.age&gt;18,שדה זה יופיע רק אם לשם השדה המוגדר כאן יש ערך או כללים נכונים (הנה מספר דוגמאות): myfield eval: doc.myfield == 'ערך שלי&' eval: doc.age' 18
Select Columns,בחר עמודות
URL,כתובת האתר
City/Town,עיר / יישוב
Font Size,גודל גופן
Newsletter Manager,מנהל הניוזלטר
Check,בדוק
This role update User Permissions for a user,בעל תפקיד זה עדכן את הרשאות המשתמש למשתמש
Tree view not available for {0},תצוגת עץ אינה זמינה עבור {0}
Default Incoming,הכנסות המוגדרות כברירת מחדל
Snapshot View,צלם תצוגה
Edit Format,ערוך פורמט
Ends on,מסתיים ב
"Repeats like ""aaa"" are easy to guess",חזרות כמו 'aaa' קלות לניחוש
Print Hide If No Value,הסתר הדפסה אם אין ערך
You are not allowed to send emails related to this document,אין באפשרותך לשלוח מיילים הקשורים למסמך זה
Change Password,שנה סיסמא
Test Runner,מריץ הבדיקות
Please enter the password,נא הזן את הסיסמה
Send Notification to,שלח התראה ל
"Show title in browser window as ""Prefix - title""",הצג בחלון הדפדפן כותרת כמו 'קידומת - כותרת'
Source,מקור
Soft-Bounced,המייל לא הגיע ליעדו
Property,נכס
Event and other calendars.,אירועים ולוחות שנה נוספים.
Repeat On,חזור ב
Setup Wizard,אשף התקנה
{0}: Permission at level 0 must be set before higher levels are set,{0}: חייב להיות אישור מוגדר לרמה 0 לפני שניתן להגדיר רמות גבוהות יותר
Further nodes can be only created under 'Group' type nodes,ניתן ליצור ישויות נוספות רק תחת ישות מסוג 'קבוצה'
Tag,תג
Permanently Cancel {0}?,האם לבטל באופן קבוע את {0}?
Advanced Search,חיפוש מתקדם
Half Yearly,חצי שנתי
Attached To Name,מצורף לשם
No Data,אין נתונים
Eg. smsgateway.com/api/send_sms.cgi,לדוגמא. smsgateway.com/api/send_sms.cgi
1 minute ago,לפני דקה 1
Shop,חנות
"For Links, enter the DocType as range. For Select, enter list of Options, each on a new line.","לקישורים, הזינו את ה-DOCTYPE כטווח. לבחירה, הזינו רשימה של אפשרויות, כל אחד מהם בשורה חדשה."
Content Type,סוג תוכן
ban-circle,תמרור איסור
Session Expiry,פג תוקף הפעלה
just now,עכשיו
Client side script extensions in Javascript,הרחבות סקריפט צד לקוח ב-Javascript
Invalid login or password,התחברות או סיסמא לא חוקיות
Letter Head,נייר מכתבים
Brand HTML,ציין HTML
Workflow State,מצב זרימת עבודה
Left,עזב
Weekly,שבועי
text in document type,טקסט בסוג המסמך
chevron-right,שברון ימינה
bookmark,סימנייה
Set,הגדר
Can't identify open {0}. Try something else.,אין אפשרות לזהות פתיחה {0}. נסה משהו אחר.
Task Name,שם המשימה
Purchase Manager,מנהל רכש
Parent Label,תווית מקור
Fieldname not set for Custom Field,שם השדה לא הוגדר כשדה מותאם אישית
Login Id is required,מזהה כניסה נדרש
Quarterly,רבעוני
Most Used,בשימוש נפוץ
Shipping,משלוח
Log of error during requests.,יומן השגיאות במהלך בקשה.
To,ל
Option 3,אפשרות 3
Gantt,גאנט
You are not allowed to print this report,אינך רשאי להדפיס דוח זה
Setup,התקנה
Adds a custom field to a DocType,מוסיף שדה מותאם אישית לDOCTYPE
Email,דואר אלקטרוני
Previous,קודם
Label and Type,תווית וסוג
Blue,כחול
Port,כניסה
Mandatory:,חובה:
Subdomain,תחום משנה
Cannot edit cancelled document,לא ניתן לערוך מסמך שבוטל
Settings,הגדרות
Log of error on automated events (scheduler).,יומן רישום לשגיאות באירועים אוטומטיים (מתזמן).
Modules HTML,מודולים ל-HTML
In points. Default is 9.,בנקודות. ברירת המחדל היא 9.
Please Duplicate this Website Theme to customize.,אנא שכפל נושא אתר זה כדי להתאים אישית.
Traceback,עקוב
one of,אחד מ
Write,לכתוב
Categorize blog posts.,סווג פוסטים מהבלוג.
Letter Head in HTML,נייר מכתבים ב- HTML
Test,מבחן
Query Report,דוח שאילתות
Saving,שמירה
{0}: Cannot set Cancel without Submit,{0}: לא ניתן להגדיר ביטול ללא הגשה
Route,מסלול
Verify,אמת
Scheduler Last Event,מתזמן את האירוע האחרון
You do not have enough permissions to access this resource. Please contact your manager to get access.,אין לך מספיק הרשאות כדי לגשת למשאב זה. צור קשר עם המנהל שלך כדי לקבל גישה.
Default Letter Head,נייר מכתבים המוגדר כברירת מחדל
Insert Above,הכנס מעל
Password Updated,הסיסמא עודכנה
Footer Items,פריטים בכותרת התחתונה
Year,שנה
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,"רק שדות חובה נחוצים לרשומות חדשות. אם תרצה, תוכל למחוק את העמודות שאינן חובה."
New value to be set,ערך חדש להגדרה
Note: Multiple sessions will be allowed in case of mobile device,הערה: מספר הפעלות תתאפשר במקרה של מכשיר נייד
Send alert if date matches this field's value,שלח התראה אם התאריך מתאים לערך השדה הזה
Attach Your Picture,צרף תמונה שלך
Group Label,כינוי הקבוצה
Web Page Link Text,טקסט קישור לדף האינטרנט
Try to avoid repeated words and characters,נסה להימנע מילות חוזרות ותווים חוזקים
Fieldtype,סוג השדה
Workflow Name,שם זרימת עבודה
Last Updated By,עדכון לאחרונה על ידי
You need to be in developer mode to edit a Standard Web Form,אתה צריך להיות במצב מפתחים על מנת לערוך טופס אינטרנט רגיל
If non standard port (e.g. 587),אם יציאה לא סטנדרטית (לדוגמא 587)
Slideshow Name,שם מצגת
Theme,נושא
Cannot delete standard field. You can hide it if you want,לא ניתן למחוק את השדה הסטנדרטי. תוכל להסתיר אותו אם תרצה
Reset Password Key,מפתח לאיפוס סיסמא
Relapsed,הוחזר
You,אתה
The first user will become the System Manager (you can change this later).,המשתמש הראשון יהפוך להיות מנהל המערכת (תוכל לשנות זאת בהמשך).
road,כביש
This form does not have any input,לטופס זה אין קלט
Cancelling,מבטל
Customize Form Field,שדה טופס בהתאמה אישית
Third Party Authentication,אימות צד שלישי
Update Value,עדכן ערך
Editing Row,עורך שורה
No Results,אין תוצאות
Refresh Form,רענן טופס
Receiver Parameter,פרמטרים למקבל
Workflow state represents the current state of a document.,מצב זרימת העבודה מייצג את המצב הנוכחי של מסמך.
Report Builder reports are managed directly by the report builder. Nothing to do.,דיווחי בונה הדוחות מנוהלים ישירות על ידי בונה הדוחות. אין מה לעשות בנידון.
Completed,הושלם
Address Template,תבנית כתובת
Not allowed to change {0} after submission,אסור לשנות {0} לאחר הגשה
Comment,תגובה
Add,הוסף
Please do not change the rows above {0},נא לא לשנות את השורות מעל {0}
Web Form Field,שדה טופס אינטרנטי
Company Name,שם חברה
Start Date,תאריך ההתחלה
Query must be a SELECT,שאילתא חייבת להיות SELECT
Password not found,סיסמה לא נמצאה
More,עוד
"You can change Submitted documents by cancelling them and then, amending them.",ניתן לשנות מסמכים שהוגשו אם תבטלו אותם ואז תתקנו אותם.
Gender,מין
Field {0} is not selectable.,שדה {0} הוא לא לבחירה.
Customize,התאמה אישית
Enter Email Recipient(s),הזן נמען/ים לדואר אלקטרוני
Background Workers,עובדי רקע
Please duplicate this to make changes,אנא שכפל זאת על מנת לבצע שינויים
Added,נוסף
Maximum {0} rows allowed,מותר להזין עד {0} שורות
Banner HTML,באנר HTML
Custom?,מותאם אישית?
Name of the Document Type (DocType) you want this field to be linked to. e.g. Customer,שמו של סוג המסמך (DOCTYPE) דף זה צריךלהיות מקושר. לדוגמהף ללקוחות
Delivery Status,סטטוס משלוח
Public,ציבורי
Widths can be set in px or %.,ניתן להגדיר רוחב בpx או%.
Desktop Icon,סמל שולחן העבודה
Allow Comments,אפשר הערות
Copyright,כל הזכויות שמורות
{0} logged in,{0} מחובר
Document is only editable by users of role,המסמך ניתן לעריכה רק על ידי משתמשים בעלי תפקיד
Setting this Address Template as default as there is no other default,מגדיר תבנית כתובת זו כברירת מחדל כיוון שאין ברירת מחדל אחרת
To Do,לעשות
{0} minutes ago,לפני {0} דקות
star-empty,כוכב ריק
arrow-up,חץ למעלה
Use TLS,TLSב- השתמש
Phone,טלפון
Role Permissions,הרשאות תפקיד
Add Column,הוסף עמודה
{0} must be one of {1},{0} חייב להיות אחד {1}
Dr,DR
Home Page,דף הבית
Print Hide,הסתר הדפסה
Cannot delete {0} as it has child nodes,לא יכול למחוק את {0} שכן יש לו תתי-ישויות
_doctype,_doctype
View Properties (via Customize Form),הצג נכסים (באמצעות טופס התאמה אישית)
Workflow Action,פעולה בזרימת עבודה
Assignment Complete,המשימה הושלמה
Tasks,משימות
Transition Rules,כללי מעבר
CSS,CSS
Is Mandatory Field,האם שדה חובה
Both DocType and Name required,DOCTYPE ושם נדרשים
Yes,כן
System and Website Users,משתמשי מערכת ואתר
minus,מינוס
Select,בחר
Run scheduled jobs only if checked,הפעל עבודות מתוכננות רק אם נבדקו
No {0} permission,אין {0} הרשאות
FavIcon,Favicon
Block Module,מודול ריק
Billing,חיוב
User {0} cannot be deleted,לא ניתן למחוק את משתמש {0}
Workflow Transition,מעבר זרימת עבודה
Text to be displayed for Link to Web Page if this form has a web page. Link route will be automatically generated based on `page_name` and `parent_website_route`,טקסט שיוצג לקישור לדף אינטרנט אם לטופס זה יש דף אינטרנט. מסלול קישור יהיה באופן אוטומטי המבוסס על 'שם_הדף' ו'נתיב_מקור_של_האתר'
Male,זכר
Send Welcome Email,שלח הודעת ברוכים הבאים
Custom Format,פורמט מותאם אישית
Portal,פורטל
"Apart from System Manager, roles with Set User Permissions right can set permissions for other users for that Document Type.","מלבד מנהל מערכת, תפקידים עם הרשאות משתמש מוגדרות יכולים להגדיר הרשאות למשתמשים אחרים עבור סוג מסמך זה."
Ctrl + Down,Ctrl + Down
Send document web view link in email,שלח קישור למסמך תצוגת אינטרנט דרך הדואר האלקטרוני
Owner,בעלים
Page {0} of {1},דף {0} של {1}
Cancelled,בוטל
Did not add,לא להוסיף
No template found at path: {0},לא נמצאה תבנית בנתיב: {0}
Open Link,פתח קישור
Region,אזור
Index,מדד
repeat,חזור
Female,נקבה
Pages in Desk (place holders),דפים בשולחן העבודה (תופסים מקום)
Module Not Found,מודול לא נמצא
Please enable pop-ups,אנא אפשר חלונות קופצים
First Name,שם פרטי
Internal record of document shares,תיעוד פנימי של שיתוף המסמך
Page Name,שם הדף
Re:,Re:
Hide Copy,עותק מוסתר
Monthly,חודשי
Purchase Master Manager,מנהל רכש
Cannot cancel before submitting. See Transition {0},לא ניתן לבטל לפני הגשה. ראה מעבר {0}
Max 500 records at a time,לא ניתן לעדכן יותר מ-500 רשומות בבת אחת
Method,שיטה
Email Group,קבוצת דואר אלקטרוני
Modules,מודולים
Forgot Password?,שכחת את הסיסמא?
Actions,פעולות
Please do not change the template headings.,נא לא לשנות את כותרות התבנית.
Notify if unreplied for (in mins),נא להודיע אם לא התקבלה תגובה ל-(בדקות)
Category,קָטֵגוֹרִיָה
Hide Footer Signup,הסתר חתימה בכותרת התחתונה
Room,חדר
Notify by Email,העבר הודעה בדואר האלקטרוני
System User,משתמש מערכת
Text Editor,עורך הטקסט
File '{0}' not found,הקובץ '{0}' לא נמצא במערכת
Old Password,סיסמא ישנה
hand-right,צד ימין
Export,ייצא
Please make sure that there are no empty columns in the file.,אנא ודא שאין עמודות ריקות בקובץ.
Open a module or tool,פתח מודול או כלי
Value missing for,חסר ערך ל
Add New Permission Rule,הוסף כלל הרשאות חדש
updated to {0},עודכן ל- {0}
Timeline field must be a Link or Dynamic Link,שדה ציר הזמן חייב להיות קישור או קישור דינמי
Pay,שלם
"e.g. ""Support"",""Sales"",""Jerry Yang""","לדוגמה: 'תמיכה' ,'מכירות' ,'ג'רי יאנג'"
Merging is only possible between Group-to-Group or Leaf Node-to-Leaf Node,ניתן למזג רק בין קבוצה לקבוצה או ישות קצה לישות קצה
Default for {0} must be an option,ברירת מחדל עבור {0} חייב להיות אופציה
HTML for header section. Optional,HTML למקטע הכותרת. אופציונאלי
Standard roles cannot be disabled,תפקידים רגילים לא יכולים להיות חסומים
