Read,קרא
DocType,DOCTYPE
Add / Manage Email Accounts.,הוסף / נהל חשבונות דואר אלקטרוני.
"The task {0}, that you assigned to {1}, has been closed.","המשימה {0}, שהקצת ל-{1}, נסגרה."
PDF Page Size,גודל דף ה-PDF
Group Node,ישות מסוג קבוצה
Web Site,אתר אינטרנט
Info:,מידע:
You can find things by asking 'find orange in customers',אתה יכול למצוא דברים בשאלה 'מצא כתום בלקוחות'
Blocked,חסום
Add fields to forms.,הוסף שדות לטפסים.
Template,תבנית
ID (name) of the entity whose property is to be set,מזהה (שם) של הישות שמאפייניו עומדים להיות מוגדרים
Outlook.com,Outlook.com
System Manager,מנהל מערכת
Complete Setup,ההתקנה הסתיימה
Smallest Currency Fraction Value,ערך חלק המטבע הקטן ביותר
Comments,תגובות
There were errors,התרחשו מספר שגיאות
Ctrl + Up,Ctrl + Up
Pick Columns,בחר עמודות
mm/dd/yyyy,mm/dd/yyyy
Have an account? Login,בעל חשבון? התחבר
Errors in Background Events,שגיאות ברקע
{0} added,{0} נוסף
Field Type,סוג שדה
My Settings,ההגדרות שלי
Next,הבא
Name Case,שם התיק
"Help: To link to another record in the system, use ""#Form/Note/[Note Name]"" as the Link URL. (don't use ""http://"")","עזרה: על מנת לקשר לרשומה נוספת במערכת, השתמש ב'# טופס / הערה / [שם הערה]' ככתובת ה-URL של הקישור. (אין צורך להשתמש ב-'http: //')"
Row {0}: Not allowed to enable Allow on Submit for standard fields,שורה {0}: אין הרשאה לאפשר אפשר הגשה לשדות סטנדרטיים
Tuesday,יום שלישי
Authentication failed while receiving emails from Email Account {0}. Message from server: {1},אימות נכשל בזמן שהתקבל הודעות דואר אלקטרוני מהחשבון {0}. הודעה מהשרת: {1}
Enable Incoming,אפשר הודעות נכנסות
Create a New Format,צור פורמט חדש
Precision should be between 1 and 6,Precision צריך להיות בין 1 ל 6
Other,אחר
and,ו
Rename {0},שנה שם {0}
{0} {1}: Submitted Record cannot be deleted.,{0} {1}: לא ניתן למחוק רשומה שהוגשה.
Preferred Shipping Address,כתובת מועדפת למשלוח
"If you are updating, please select ""Overwrite"" else existing rows will not be deleted.","אם אתה מעדכן, אנא בחר באפשרות 'החלף' אחרת שורות קיימות לא תימחקנה."
Re: {0},Re: {0}
Oops! Something went wrong,אופס! משהו השתבש
Timestamp,חותמת זמן
"{0} {1} does not exist, select a new target to merge","{0} {1} לא קיים, בחר יעד חדש למזג"
dd/mm/yyyy,dd/mm/yyyy
Roles Assigned,תפקידים שהוקצו
Share this document with,שתף מסמך זה עם
Success URL,URL מוצלח
New {0},חדש {0}
Content web page.,תוכן דף האינטרנט.
Append To,הוסף ל
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","כל מצבי זרימת העבודה האפשריים והתפקידים בזרימת העבודה. אפשרויות מצב המסמך: 0 משמעותו 'נשמר', 1 משמעותו 'נשלח' ו-2 משמעותו 'בוטל'"
Optional: The alert will be sent if this expression is true,אופציונלי: ההתראה תישלח אם ביטוי זה נכון
User Image,תמונת המשתמש
Salutation,דברי ברכה
Leave blank to repeat always,השאר ריק כדי לחזור תמיד
Complete,השלם
Attachment Removed,הצרופה הוסרה
Administrator accessed {0} on {1} via IP Address {2}.,מנהל ניגש ל-{0} ב-{1} באמצעות כתובת IP {2}.
Ignore attachments over this size,התעלם מקבצים מצורפים מעל הגודל הזה
Edit Custom HTML,ערוך HTML מותאם אישית
&lt;head&gt; HTML,'כותרת' HTML
Notifications and bulk mails will be sent from this outgoing server.,הודעות ומיילים בתפוצה רחבה יישלחוה מהשרת דואר יוצא זה.
Disable Customer Signup link in Login page,השבת קישור הרשמה ללקוחות בדף כניסה
Likes,אוהב
Float,נקודה צפה
Document Types,סוגי מסמכים
Custom HTML,המותאם אישית HTML
Document States,מצב המסמך
Mandatory fields required in {0},שדות חובה נדרשים ב-{0}
View Website,הצג אתר
Event Type,סוג האירוע
Browse,חפש ב
Column Labels:,תוויות עמודה:
Rich Text,טקסט עשיר
Messages,הודעות
Sub-domain provided by erpnext.com,תת תחום הניתן על ידי erpnext.com
Users,משתמשים
"Enter keys to enable login via Facebook, Google, GitHub.","הזן סיסמה כדי לאפשר התחברות באמצעות פייסבוק, גוגל, GitHub."
{0}: Cannot set Amend without Cancel,{0}: לא ניתן להגדיר תיקון ללא ביטול
Submitted,הוגש
Footer,כותרת תחתונה
clear,נקה
Send Email Print Attachments as PDF (Recommended),שלח קבצים מצורפים מודפסים של הדואר האלקטרוני כקובץ PDF (מומלץ)
Address,כתובת
Save As,שמור כ
Auto Name,שם אוטומטי
Home/Test Folder 1,דף בית/תיקיית ניסיון 1
Search Fields,חפש שדות
Session Expiry in Hours e.g. 06:00,"תפוגת זמן פעולה בשעות, לדוגמה 6:00"
by Role,על ידי בעל התפקיד
File Size,גודל קובץ
Options for select. Each option on a new line.,אפשרויות לבחירה. כל אפשרות בשורה חדשה.
Unable to load: {0},לא ניתן לטעון: {0}
Document Status,סטטוס המסמך
trash,אשפה
Unknown Column: {0},טור לא ידוע: {0}
Report cannot be set for Single types,לא ניתן להגדיר דווח לסוגים יחיד
Show Tags,הצג תגיות
Name of the new Print Format,שמו של פורמט ההדפסה החדש
Email Signature,חתימת הדואר האלקטרוני
Please select DocType first,אנא בחר DOCTYPE
"Unknown file encoding. Tried utf-8, windows-1250, windows-1252.","קידוד קובץ לא ידוע. , חלונות-1250, חלונות-1252 utf-8 נבדק."
Time,זמן
Not in Developer Mode! Set in site_config.json or make 'Custom' DocType.,אינך במצב מפתחים! הגדר כ-site_config.json או צור DOCTYPE 'מותאם אישית'.
Get your globally recognized avatar from Gravatar.com,קבל את האווטאר שלך המזוהה בכל העולם מGravatar.com
Already in user's To Do list,כבר נמצא ברשימת המטלות של המשתמש
Select an image of approx width 150px with a transparent background for best results.,בחר תמונה בעלת רוחב של כ-150 פיקסלים עם רקע שקוף כדי לקבל את התוצאות הטובות ביותר.
{0}: Cannot set Assign Submit if not Submittable,{0}: לא ניתן להגדיר הגשת הקצאה אם היא אינה ניתנת להגשה
User Tags,תגיות משתמש
Permitted Documents For User,מסמכים המותרים למשתמש
Parent,מקור
Restrict IP,מוגבל IP
SMS Settings,הגדרות SMS
Visit,בקר
Must have report permission to access this report.,אתה חייב להיות בעל הרשאת דוחות על מנת לגשת לדוח זה.
Disabled,מושבת
No Permissions set for this criteria.,אין הרשאות שהוגדרו לקריטריונים אלו.
Frames,מסגרות
All Day,כל היום
Desktop,שולחן העבודה
Org History Heading,כותרת לתולדות הארגון
Enable,אפשר
Name,שם
Will be used in url (usually first name).,ישמש לכתובת האתר (לרוב השם הפרטי).
Image View,תצוגת התמונה
Successful: {0} to {1},מוצלח: {0} {1}
Avoid dates and years that are associated with you.,הימנע מתאריכים ושנים הקשורות אליך.
folder-close,סגור תיקייה
Enter url parameter for receiver nos,הזן פרמטר כתובות למספרי הנמענים
{0} Name,{0} שם
Recipient Unsubscribed,נמען לא רשום
Show Title,הצג כותרת
Edit Title,ערוך כותרת
Last Known Versions,גרסאות ידועות אחרונות
plus,פלוס
Starts on,מתחיל ב
Security Settings,הגדרות אבטחה
{0} cannot be set for Single types,לא ניתן להגדיר את {0} עבור סוגים בודדים
1 comment,1 תגובה
Let's avoid repeated words and characters,הימנע ממילים ותווים חוזרים
Reference Date,תאריך התייחסות
Version,גרסה
Reset,אתחל
Mute Sounds,השתק צלילים
Select DocType,DOCTYPE בחר
{0} not allowed to be renamed,לא ניתן לשנות את השם של {0}
System Settings,הגדרות מערכת cadan ojalvo
Capitalization doesn't help very much.,שימוש באותיות גדולות לא מועיל ביותר.
Sales User,משתמש מכירות
An icon file with .ico extension. Should be 16 x 16 px. Generated using a favicon generator. [favicon-generator.org],קובץ סמל עם .ico הרחבת. צריך להיות 16 x 16. פיקסלים. נוצר באמצעות מחולל favicon. [Favicon-generator.org]
Username,שם משתמש
resize-horizontal,שנה את הגודל האופקי
"{0}: Cannot set Submit, Cancel, Amend without Write","{0}: לא ניתן להגדיר שליחה, ביטול, תיקון ללא כתיבה"
Not allowed to print cancelled documents,לא ניתן להדפיס מסמכים שבוטלו
Async Task,משימה לא מסונכרנת
Website Settings,הגדרות אתר
Names and surnames by themselves are easy to guess.,קל לנחש שמות ושמות משפחה ללא תוספת.
Remove all customizations?,להסיר את כל ההתאמות האישיות?
Link,קישור
Cannot open {0} when its instance is open,לא ניתן לפתוח את {0} כאשר הוא פתוח
Workflow Action Name,שם הפעולה בזרימת העבודה
Unsubscribed,רישום בוטל
Help on Search,עזרה בחיפוש
Forward To Email Address,העבר לכתובת הדואר האלקטרוני
"{0} field cannot be set as unique in {1}, as there are non-unique existing values","השדה {0} לא יכול להיות מוגדר כייחודי ב-{1}, שכיוון שכבר ישנם ערכים שאינם ייחודיים בתוכו"
Type:,סוג:
facetime-video,וידאו בזמן אמת
The First User: You,המשתמש הראשון: אתה
Designation,ייעוד
Filter {0} missing,מסנן {0} חסר
ok,OK
Not Published,לא פורסם
Custom CSS,CSS מותאם אישית
retweet,צייץ מחדש
Is Default,האם ברירת מחדל
This is a top-100 common password.,זוהי אחת מ-100 הסיסמאות הנפוצות ביותר
Select Print Format,פורמט הדפסה בחר
Bio,ביו
Collapsible Depends On,Collapsible התלוי ב
You need to be logged in and have System Manager Role to be able to access backups.,אתה צריך להיות מחובר ולהיות בתפקיד מנהל מערכת על מנת שתוכל לגשת לגיבויים.
This is similar to a commonly used password.,סיסמה זו דומה לסיסמה נפוצה אחרת.
Enabled,מופעל
Text,טקסט
No Copy,לא העתק
Content Hash,Hash תוכן
0 - Draft; 1 - Submitted; 2 - Cancelled,0 - טיוטה; 1 - הוגש; 2 - בוטל
Session Expiry must be in format {0},תפוגת זמן הפעותה חייבת להיות בפורמט {0}
"Oops, you are not allowed to know that","אופס, אינך רשאי לדעת זאת"
Script Report,דוח סקריפט
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,הוסף: Protip <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> על מנת לשלוח התייחסות למסמך
Time Zone,אזור זמן
headphones,אוזניות
There can be only one Fold in a form,לא יכול להיות רק אחד Fold בטופס
Property Type,סוג המאפיין
Add Filter,הוסף מסנן
Small Text,טקסט קטן
All-uppercase is almost as easy to guess as all-lowercase.,קל לנחש אותיות גדולות בדיוק כמו אותיות קטנות.
signal,סימן
A new account has been created for you at {0},חשבון חדש נוצר עבורך ב-{0}
Table {0} cannot be empty,טבלה {0} לא יכולה להיות ריקה
For {0} at level {1} in {2} in row {3},עבור {0} ברמה {1} {2} בשורה {3}
New Email,הודעה חדשה
GitHub,GitHub
use % as wildcard,השתמש ב-% כתו חופשי
User '{0}' already has the role '{1}',המשתמש '{0}' הוא כבר בעל התפקיד '{1}'
Login Required,נדרשת כניסה לחשבון
Amended From,תוקן מ
Left this conversation,עזוב את השיחה הזאת
Google Drive,Google Drive
Value,ערך
Middle Name (Optional),שם אמצעי (אופציונאלי)
** Failed: {0} to {1}: {2},** נכשל: {0} ל-{1}: {2}
Is Attachments Folder,האם תיקיית קבצים מצורפים
Period,תקופה
Bot,בוט
Change,שנה
Value Change,הערך השתנה
Reference DocType,DOCTYPE התייחסות
No comments yet,עדיין אין תגובות
Default Sending and Inbox,ברירת מחדל לשליחה ולתיבת הדואר הנכנס
Currency,מטבע
indent-left,הזחה לשמאל
Send Print as PDF,שלח הדפסה כקובץ PDF
Sidebar Items,פריטים בסרגל הצידי
Add Total Row,הוסף שורת סך כולל
Thank you for your email,תודה על ההודעה שלך
thumbs-up,אגודלים מורמים
Only Administrator can save a standard report. Please rename and save.,רק מנהל מערכת יכול לשמור דוח סטנדרטי. אנא שנה שם ושמור.
Icon will appear on the button,סמל יופיע על הכפתור
Settings for About Us Page.,הגדרות עבור הדף מי אנחנו.
Files,קבצים
Added {0} ({1}),נוסף {0} ({1})
question-sign,סימן שאלה
My Account,החשבון שלי
Beta,בטא
Permanently delete {0}?,למחוק לצמיתות את {0}?
{0} {1} cannot be a leaf node as it has children,{0} {1} לא יכול להיות ישות קצה כיוון שיש לו תת-ישות
Background Email Queue,תור רקע לדואר האלקטרוני
Merge with existing,מזג עם מודל קיים
Click on the link below to complete your registration and set a new password,לחץ על הקישור הבא כדי להשלים את הרישום שלך ולהגדיר סיסמה חדשה
Send After,שלח לאחר
Monday,יום שני
e.g. pop.gmail.com / imap.gmail.com,למשל pop.gmail.com / imap.gmail.com
Email Queue,תור בדואר האלקטרוני
Category Name,שם הקטגוריה
Doc Status,סטטוס המסמך
Click here to verify,לחץ כאן כדי לאמת
Did not find {0} for {0} ({1}),לא נמצא {0} עבור {0} ({1})
Please ensure that your profile has an email address,ודא שיש בפרופיל שלך כתובת דואר אלקטרוני
Unique,ייחודי
Guest,אורח
Assign,הקצה
Reopen,פתח מחדש
Example,דוגמה
Row #{0}:,# שורה {0}:
Transitions,מעברים
align-left,יישור טקסט לשמאל
Find {0} in {1},מצא את {0} ב {1}
Comments and Communications will be associated with this linked document,תגובות והעברות ישוייכו עם מסמך מקושר זה
certificate,אישור
Posts by {0},פורסם בידי {0}
Print Format {0} is disabled,פורמט ההדפסה {0} אינו זמין
{0} or {1},{0} או {1}
Cannot Update: Incorrect / Expired Link.,לא ניתן לעדכן: קישור שגוי / קישור שפג תוקפו.
Emails are muted,הודעות מושתקות
List,רשימה
Module Name,שם מודול
backward,אחורה
Cannot link cancelled document: {0},אינך יכול לקשר מסמך שבוטל: {0}
Standard Print Format cannot be updated,לא ניתן לעדכן פורמט הדפסה סטנדרטי
Green,ירוק
Invalid CSV Format,פורמט CSV לא חוקי
Naming Series mandatory,שמות סדרת חובה
Enter Value,הזן ערך
Attach Print,צרף הדפסה
Send Now,שלח עכשיו
Reference Doc,מסמך התייחסות
DocType can not be merged,לא ניתן למזג DOCTYPE
ToDo,רשימת מטלות
Days Before,מספר ימים לפני
Wednesday,יום רביעי
"Permissions at level 0 are Document Level permissions, i.e. they are primary for access to the document.","הרשאות ברמה 0 הן הרשאות לרמת המסמך, כלומר הם בעיקר מאפשרים גישה למסמכים."
Allow Edit,אפשר עריכה
Blog Post,פוסט בבלוג
Not equals,לא שווה
Draft,טיוטה
New Password,סיסמה חדשה
th,th
Precision,רמת דיוק
DocPerm,הרשאות מסמכים
Seen,נראה
leaf,ישות קצה
Dynamic Link,קישור דינמי
New Folder,תיקיה חדשה
file,קובץ
Document Type,סוג המסמך
Use this fieldname to generate title,השתמש בשם שדה זה על מנת ליצור כותרת
Subject,נושא
Add A New Rule,הוסף חוק חדש
Column Break,מעבר עמודה
All customizations will be removed. Please confirm.,כל ההתאמות האישיות יוסרו. אנא אשר זאת.
step-forward,העבר קדימה
County,מחוז
new type of document,סוג חדש של מסמך
Set Permissions on Document Types and Roles,הגדרת הרשאות על סוגי מסמכים ותפקידים
Roles can be set for users from their User page.,ניתן להגדיר תפקידים עבור משתמשים בדף המשתמש שלהם.
Clicked,נלחץ
Module Def,הגדרת מודול
Create and Send Newsletters,צור ושלח ניוזלטרים
hand-down,יד כלפי מטה
Users with role {0}:,משתמשים בעלי התפקיד {0}:
Value cannot be changed for {0},לא ניתן לשנות ערך עבור {0}
Last Active,פעילות אחרונה
Upcoming Events,אירועים קרובים
You don't have the permissions to access this document,אין לך הרשאות גישה למסמך זה
Enable Report,אפשר דוח
Both login and password required,נדרש להתחבר ולהזין סיסמה
Search or type a command,חפש או הקלד פקודה
Attachment,קובץ מצורף
Sunday,יום ראשון
Syntax error in template,שגיאת בתחביר התבנית
Chat messages and other notifications.,הודעות צ'אט והתראות נוספות.
Last Name,שם משפחה
Save,שמור
Bulk Update,עדכון גורף
Addresses,כתובות
Reason,סיבה
Middle Name,שם אמצעי
"Another {0} with name {1} exists, select another name","{0} נוסף עם השם {1} קיים במערכת, בחר שם אחר"
Reset Permissions for {0}?,איפוס הרשאות עבור {0}?
zoom-out,הקטן
View this in your browser,הצג זאת בדפדפן שלך
Print Style,סגנון הדפסה
Long Text,טקסט ארוך
Friendly Title,כותרת ידידותית
Not allowed to Import,לא ניתן לייבא
Posts,פוסטים
Fonts,גופנים
Events In Today's Calendar,אירועים בלוח השנה היום
Set New Password,הגדר סיסמה חדשה
flag,דגל
Timeline Name,שם ציר זמן
Settings for the About Us Page,הגדרות עבור העמוד מי אנחנו
Not Allowed,לא מאושר
Maintenance Manager,מנהל אחזקה
User Permissions,הרשאות משתמש
"Must be of type ""Attach Image""",חייב להיות מסוג 'צרף תמונה'
Did not cancel,לא בוטל
Report {0},דוח {0}
Yearly,שנתי
Please Update SMS Settings,אנא עדכן את הגדרות ה-SMS
HTML,HTML
Ignore XSS Filter,התעלם ממסנן ה-XSS
remove-sign,סימן הסרה
The resource you are looking for is not available,המשאב שאתה מחפש אינו זמין
Image field must be a valid fieldname,שדה תמונה חייב להיות שם שדה תקף
Represents a User in the system.,מייצג משתמש במערכת.
Allow Rename,אפשר שינוי שם
Saturday,יום שבת
Sorry! You cannot delete auto-generated comments,מצטערים! אינך יכול למחוק הערות שנוצרו באופן אוטומטי
Passive,פסיבי
You don't have permission to access this file,אין לך הרשאה לגשת לקובץ זה
Back to Login,חזרה להתחברות
volume-down,הנמכת עוצמת הקול
Data Import Template,תבנית ייבוא נתונים
{0} mentioned you in a comment in {1},{0} הזכיר אותך בהערה ב {1}
"""Company History""",'תולדות החברה'
Restore to default settings?,לשחזר להגדרות ברירת המחדל?
Error,שגיאה
values separated by commas,ערכים מופרדים בפסיקים
Insert After,הכנס אחרי
Edit,ערוך
Loading...,טוען...
{0} Tree,{0} עץ
"To format columns, give column labels in the query.","על מנת לעצב עמודות, תן תוויות עמודה בשאילתה."
Workflow Action Master,אשף פעולות זרימת העבודה
A symbol for this currency. For e.g. $,סימן של מטבע זה. לדוגמה: $$
Select the label after which you want to insert new field.,בחר את התווית שאחריה ברצונך להוסיף שדה חדש.
Set Only Once,הגדר פעם אחת
Hub,רכזת
Updated To New Version,עודכן לגרסה חדשה
Options,אפשרויות
Address Title is mandatory.,יש להזין כותרת כתובת.
Series {0} already used in {1},סדרה {0} כבר בשימוש ב-{1}
{0} months ago,לפני {0} חודשים
Custom Field,שדה מותאם אישית
Center,מרכז
DESC,תיאור
Accounts User,חשבונות משתמש
DocShare,שיתוף מסמכים
Set numbering series for transactions.,הגדר מספור לסדרות לעסקאות.
App not found,היישום לא נמצא
Redis cache server not running. Please contact Administrator / Tech support,המטמון של שרת ה-Redis לא מצליח חרוץ. אנא צור קשר עם המנהל / תמיכה טכנית
Language,שפה
"Expression, Optional","ביטוי, אופציונאלי"
"For example: If you want to include the document ID, use {0}","לדוגמה: אם ברצונך לכלול מזהה המסמך, השתמש ב-{0}"
Not Like,שונה מ
Assignment closed by {0},המשימה נסגרה על ידי {0}
Compact Item Print,מדפסת פריטים קומפקטיים
volume-off,קול מושתק
Color,צבע
Email Address,כתובת דואר אלקטרוני
"Sub-currency. For e.g. ""Cent""",תת מטבע. לדוגמה 'סנט'
Sorry! I could not find what you were looking for.,מצטערים! לא הצלחנו למצוא את מה שחיפשת.
Success Message,ההודעה נשלחה בהצלחה
DocType can only be renamed by Administrator,ניתן לשנות את שם ה-DOCTYPE רק על ידי מנהל
Fieldname which will be the DocType for this link field.,שם השדה אשר יהיה DOCTYPE לשדה קישור זה.
Invalid Login Token,מפתח התחברות לא חוקי
Table updated,הטבלה התעדכנה
Add custom javascript to forms.,הוסף JavaScript מותאם אישית לטפסים.
Customize Form,טופס מותאם אישית
Select Print Format to Edit,בחר פורמט הדפסה כדי לערוך אותו
Country Name,שם המדינה
Could not identify {0},לא ניתן לזהות {0}
Role and Level,תפקיד ורמה
A log of request errors,יומן של שגיאות בקשה
Email Queue records.,רשומות תור של הדואר האלקטרוני.
click here,לחץ כאן
Postal,מיקוד
Runtime,זמן ריצה
Is Home Folder,האם תיקיית הבית
Field,שדה
folder-open,פתיחת תיקייה
Select Attachments,בחר קבצים מצורפים
Address Line 1,שורת כתובת 1
Max Attachments,מספר קבצים מצורפים מקסימלי
You can use Customize Form to set levels on fields.,תוכל להשתמש בטופס מותאם אישית כדי להגדיר רמות בשדות.
Add Subscribers,הוסף מנויים
Verdana,Verdana
Sales Manager,מנהל מכירות
Currently Viewing,צופים כרגע
Folder {0} is not empty,תיקייה {0} אינה ריקה
Comment By,תגובה מ
No further records,אין רשומות נוספות
Allow Dropbox Access,אפשר גישה ל-Dropbox
Add your own translations,הוספת תרגומים משלך
Delayed,מושהה
Liked By,סומן כ-אהבתי על ידי
Cannot edit standard fields,לא ניתן לערוך שדות סטנדרטיים
UPPER CASE,אותיות גדולות
Enable Scheduled Jobs,אפשר משימות מתוכננות
Only Allow Edit For,אפשר עריכה רק ל
Missing Values Required,נדרשים ערכים חסרים
Submit this document to confirm,שלח את המסמך הזה כדי לאשר
Let's prepare the system for first use.,בואו נכין את המערכת לשימוש ראשון.
Import Email From,ייבא דואר אלקטרוני מ
Share {0} with,שתף {0} עם
Property Setter,מגדיר מאפיין
Only Administrator can delete Email Queue,רק מנהל יכול למחוק תור בדואר אלקטרוני
pause,עצור
Role,תפקיד
Image,תמונה
{0} is currently viewing this document,{0} כרגע צופים במסמך זה
Import Log,ייבא יומן
Name of {0} cannot be {1},השם של {0} אינו יכול להיות {1}
Notes:,הערות:
{0} shared this document with {1},{0} שיתף מסמך זה עם {1}
Attachment Limit (MB),מגבלת קבצים מצורפים (MB)
Reference Document Type,סוג מסמך ההתייחסות
Select {0},בחר {0}
Rename,שנה שם
Fieldname {0} cannot have special characters like {1},שם השדה {0} לא יכול להכיל תווים מיוחדים כמו {1}
End Time,שעת סיום
Set Banner from Image,הגדר באנר מתמונה
plane,מטוס
Email Ids,מזהי דואר אלקטרוני
Is Child Table,האם האם תת-טבלה
Smallest circulating fraction unit (coin). For e.g. 1 cent for USD and it should be entered as 0.01,היחידה הקטנה ביותר במחזור (מטבע). לדוגמא סנט אחד לדולר ויש להזין אותו כ-0.01
Valid email and name required,יש להזין דואר אלקטרוני תקף ושם
1 Currency = [?] Fraction For e.g. 1 USD = 100 Cent,"מטבע אחד = [?] חלקים. לדוגמה, דולר אחד = 100 סנט"
Running,רץ
Heading,כותרת
Float Precision,רמת דיוק לנקודה צפה
Not Seen,לא נראה
Confirm Your Email,אשר את הדואר האלקטרוני שלך
Banner is above the Top Menu Bar.,שים את הבאנר מעל לשורת התפריטים העליונה.
Limit,הגבל
Service,שירות
Avoid sequences like abc or 6543 as they are easy to guess,הימנע מרצפים כמו abc או 6543 כיוון שהם קלים לניחוש
Document Name,שם המסמך
Closed,סגור
Add Signature,הוסף את החתימה
Login Before,התחבר לפני
qrcode,QRCode
{0} Report,{0} דוח
Website Theme Image Link,קישור לתמונת נושא אתר
Validity,תוקף
Is Single,הם בודד
Print Format Builder,בונה פורמט ההדפסה
Confirmed,אושר
Report of all document shares,דוח של כל שיתופי המסמך
Notes,הערות
Company History,תולדות החברה
Country,מדינה
Multiple root nodes not allowed.,ישויות שורש מרובות אסורות.
Administrator,מנהל
Filter,סנן
Could not find {0} in {1},לא ניתן למצוא את {0} ב {1}
Text Color,צבע הטקסט
{0} weeks ago,לפני {0} שבועות
Enter url parameter for message,הזן פרמטר url להודעה
Pending,ממתין ל
Blogger,בלוגר
Exception Type,סוג החריגה
Calendar,לוח שנה
Menu,תפריט
Footer Item,פריט בכותרת תחתון
